ensembl_gene_id	external_gene_name	description
ENSRNOG00000033214	AABR07072400.2	NULL
ENSRNOG00000002346	Tbx22	T-box transcription factor 22 [Source:RGD Symbol;Acc:1589764]
ENSRNOG00000024479	Klhl34	kelch-like family member 34 [Source:RGD Symbol;Acc:1560439]
ENSRNOG00000004414	F11r	F11 receptor [Source:RGD Symbol;Acc:621842]
ENSRNOG00000018141	Kiaa0319	KIAA0319 homolog [Source:RGD Symbol;Acc:1307443]
ENSRNOG00000004373	Ddx39a	DExD-box helicase 39A [Source:RGD Symbol;Acc:619920]
ENSRNOG00000061094	LOC120099190	cancer/testis antigen 55-like [Source:RGD Symbol;Acc:41180249]
ENSRNOG00000014520	Ing1	inhibitor of growth family, member 1 [Source:RGD Symbol;Acc:1306330]
ENSRNOG00000018077	Gpat4	glycerol-3-phosphate acyltransferase 4 [Source:RGD Symbol;Acc:1310520]
ENSRNOG00000066944	LOC120098374	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:40930674]
ENSRNOG00000068944	LOC120098666	5S ribosomal RNA [Source:RGD Symbol;Acc:41333231]
ENSRNOG00000068889	LOC120099534	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41367602]
ENSRNOG00000020526	Mau2	MAU2 sister chromatid cohesion factor [Source:RGD Symbol;Acc:1308759]
ENSRNOG00000057598	AABR07032520.4	NULL
ENSRNOG00000008506	Hoxb1	homeo box B1 [Source:RGD Symbol;Acc:1310298]
ENSRNOG00000000695	Ssh1	slingshot protein phosphatase 1 [Source:RGD Symbol;Acc:1306038]
ENSRNOG00000009208	Pibf1	progesterone immunomodulatory binding factor 1 [Source:RGD Symbol;Acc:1305077]
ENSRNOG00000057677	Rpl30l1	ribosomal protein L30-like 1 [Source:RGD Symbol;Acc:1562397]
ENSRNOG00000020107	Stk11ip	serine/threonine kinase 11 interacting protein [Source:RGD Symbol;Acc:1305046]
ENSRNOG00000054858	LOC120098399	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41321002]
ENSRNOG00000004320	Tgm4	transglutaminase 4 [Source:RGD Symbol;Acc:620785]
ENSRNOG00000031052	Rplp2l3	ribosomal protein lateral stalk subunit P2 like 3 [Source:RGD Symbol;Acc:2324107]
ENSRNOG00000061385	LOC120099427	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41384159]
ENSRNOG00000067783	LOC120098717	5S ribosomal RNA [Source:RGD Symbol;Acc:41162948]
ENSRNOG00000026112	Tmem202	transmembrane protein 202 [Source:RGD Symbol;Acc:1585107]
ENSRNOG00000016828	Cmtm5	CKLF-like MARVEL transmembrane domain containing 5 [Source:RGD Symbol;Acc:1307045]
ENSRNOG00000053494	Mcpt1l1	mast cell protease 1-like 1 [Source:RGD Symbol;Acc:2321286]
ENSRNOG00000070206	Irf2bp2	interferon regulatory factor 2 binding protein 2 [Source:RGD Symbol;Acc:1589517]
ENSRNOG00000057375	Snora57	small nucleolar RNA, H/ACA box 57 [Source:RGD Symbol;Acc:41153492]
ENSRNOG00000065950	LOC120098712	5S ribosomal RNA [Source:RGD Symbol;Acc:41226032]
ENSRNOG00000004249	Tlr7	toll-like receptor 7 [Source:RGD Symbol;Acc:1563357]
ENSRNOG00000000988	Xab2	XPA binding protein 2 [Source:RGD Symbol;Acc:621217]
ENSRNOG00000064768	LOC120098363	small nucleolar RNA SNORA42/SNORA80 family [Source:RGD Symbol;Acc:41204336]
ENSRNOG00000056135	Tsc22d3	TSC22 domain family, member 3 [Source:RGD Symbol;Acc:621654]
ENSRNOG00000011253	Trmt9b	tRNA methyltransferase 9B (putative) [Source:RGD Symbol;Acc:1304810]
ENSRNOG00000060793	Eif2s3	eukaryotic translation initiation factor 2 subunit gamma [Source:RGD Symbol;Acc:1561279]
ENSRNOG00000066349	Magea8	MAGE family member A8 [Source:RGD Symbol;Acc:1565778]
ENSRNOG00000027238	Jrk	Jrk helix-turn-helix protein [Source:RGD Symbol;Acc:1306316]
ENSRNOG00000057784	LOC120099503	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41348515]
ENSRNOG00000069928	LOC120098723	5S ribosomal RNA [Source:RGD Symbol;Acc:41242229]
ENSRNOG00000032160	Rpl14l2	ribosomal protein L14 like 2 [Source:RGD Symbol;Acc:1590581]
ENSRNOG00000037455	Fam9b	family with sequence similarity 9, member B [Source:RGD Symbol;Acc:2322060]
ENSRNOG00000065000	Lrrc8c	leucine rich repeat containing 8 VRAC subunit C [Source:RGD Symbol;Acc:1306585]
ENSRNOG00000027901	Mrm1	mitochondrial rRNA methyltransferase 1 [Source:RGD Symbol;Acc:1566232]
ENSRNOG00000045844	Impact	impact RWD domain protein [Source:RGD Symbol;Acc:1591977]
ENSRNOG00000065428	LOC120098414	U2 spliceosomal RNA [Source:RGD Symbol;Acc:40940698]
ENSRNOG00000000314	Sec63	SEC63 homolog, protein translocation regulator [Source:RGD Symbol;Acc:1304984]
ENSRNOG00000058350	LOC120099413	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41182840]
ENSRNOG00000019022	Fam89a	family with sequence similarity 89, member A [Source:RGD Symbol;Acc:1309879]
ENSRNOG00000053481	LOC102553338	uncharacterized LOC102553338 [Source:RGD Symbol;Acc:7644990]
ENSRNOG00000063515	LOC120098722	5S ribosomal RNA [Source:RGD Symbol;Acc:41022570]
ENSRNOG00000026351	Cldn34e	claudin 34E [Source:RGD Symbol;Acc:1591711]
ENSRNOG00000016749	Klhl10	kelch-like family member 10 [Source:RGD Symbol;Acc:1303290]
ENSRNOG00000055276	LOC120098342	U6 spliceosomal RNA [Source:RGD Symbol;Acc:40950388]
ENSRNOG00000039241	Ythdc2	YTH N6-methyladenosine RNA binding protein C2 [Source:RGD Symbol;Acc:1563192]
ENSRNOG00000031461	Prss47	serine protease 47 [Source:RGD Symbol;Acc:1592951]
ENSRNOG00000052132	LOC120099421	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41012133]
ENSRNOG00000016804	Il25	interleukin 25 [Source:RGD Symbol;Acc:1561632]
ENSRNOG00000047231	AABR07039471.1	NULL
ENSRNOG00000060129	Zfp655	zinc finger protein 655 [Source:RGD Symbol;Acc:1309158]
ENSRNOG00000043048	Zfp950l12	zinc finger protein 950 like 12 [Source:RGD Symbol;Acc:11430399]
ENSRNOG00000070248	LOC120098719	5S ribosomal RNA [Source:RGD Symbol;Acc:41011831]
ENSRNOG00000016330	Rbm12b	RNA binding motif protein 12B [Source:RGD Symbol;Acc:1307658]
ENSRNOG00000061703	LOC120099259	cancer/testis antigen 55-like [Source:RGD Symbol;Acc:41113568]
ENSRNOG00000002161	Tlr6	toll-like receptor 6 [Source:RGD Symbol;Acc:1303030]
ENSRNOG00000025730	Armcx3	armadillo repeat containing, X-linked 3 [Source:RGD Symbol;Acc:1549739]
ENSRNOG00000004606	Meis1	Meis homeobox 1 [Source:RGD Symbol;Acc:1585482]
ENSRNOG00000027791	Cox7a2	cytochrome c oxidase subunit 7A2 [Source:RGD Symbol;Acc:68365]
ENSRNOG00000054926	AC114093.1	NULL
ENSRNOG00000061017	LOC120098362	small nucleolar RNA SNORA44 [Source:RGD Symbol;Acc:41181045]
ENSRNOG00000040257	Chmp2b	charged multivesicular body protein 2B [Source:RGD Symbol;Acc:1306781]
ENSRNOG00000016427	Letm1	leucine zipper and EF-hand containing transmembrane protein 1 [Source:RGD Symbol;Acc:1359678]
ENSRNOG00000006670	Rai2	retinoic acid induced 2 [Source:RGD Symbol;Acc:1560139]
ENSRNOG00000063434	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSRNOG00000066429	Magea8	MAGE family member A8 [Source:RGD Symbol;Acc:1565778]
ENSRNOG00000005402	AABR07040938.1	NULL
ENSRNOG00000070337	LOC120098718	5S ribosomal RNA [Source:RGD Symbol;Acc:41093667]
ENSRNOG00000000701	Iscu	iron-sulfur cluster assembly enzyme [Source:RGD Symbol;Acc:1309562]
ENSRNOG00000068742	LOC120098371	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41082659]
ENSRNOG00000000081	Antxr2	ANTXR cell adhesion molecule 2 [Source:RGD Symbol;Acc:1561294]
ENSRNOG00000043344	Cyp4f40	cytochrome P450, family 4, subfamily f, polypeptide 40 [Source:RGD Symbol;Acc:1559596]
ENSRNOG00000059253	LOC120099519	small nucleolar RNA SNORA26 [Source:RGD Symbol;Acc:41227588]
ENSRNOG00000026108	Tcof1	treacle ribosome biogenesis factor 1 [Source:RGD Symbol;Acc:1309850]
ENSRNOG00000069430	LOC120098748	5S ribosomal RNA [Source:RGD Symbol;Acc:41366977]
ENSRNOG00000014526	Cars2	cysteinyl-tRNA synthetase 2, mitochondrial [Source:RGD Symbol;Acc:1311612]
ENSRNOG00000050067	LOC120097492	uncharacterized LOC120097492 [Source:RGD Symbol;Acc:41011644]
ENSRNOG00000019525	Hspa9	heat shock protein family A (Hsp70) member 9 [Source:RGD Symbol;Acc:1311806]
ENSRNOG00000011592	Lrp10	LDL receptor related protein 10 [Source:RGD Symbol;Acc:1310471]
ENSRNOG00000018950	Fa2h	fatty acid 2-hydroxylase [Source:RGD Symbol;Acc:1310347]
ENSRNOG00000002711	Nuf2	NUF2 component of NDC80 kinetochore complex [Source:RGD Symbol;Acc:1307952]
ENSRNOG00000051360	Sycp3l2	synaptonemal complex protein 3 like 2 [Source:RGD Symbol;Acc:1563270]
ENSRNOG00000049853	Rtl9	retrotransposon Gag like 9 [Source:RGD Symbol;Acc:6486824]
ENSRNOG00000064790	Magea10-ps5	MAGE family member A10, pseudogene 5 [Source:RGD Symbol;Acc:1566060]
ENSRNOG00000025211	Cxhxorf49	similar to human chromosome X open reading frame 49 [Source:RGD Symbol;Acc:2320498]
ENSRNOG00000057907	LOC120099511	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41307397]
ENSRNOG00000029235	Sfmbt2	Scm-like with four mbt domains 2 [Source:RGD Symbol;Acc:1305027]
ENSRNOG00000065593	LOC120098721	5S ribosomal RNA [Source:RGD Symbol;Acc:41359396]
ENSRNOG00000002167	Dmp1	dentin matrix acidic phosphoprotein 1 [Source:RGD Symbol;Acc:2508]
ENSRNOG00000061376	Psca	prostate stem cell antigen [Source:RGD Symbol;Acc:1594221]
ENSRNOG00000038130	Defb51	defensin beta 51 [Source:RGD Symbol;Acc:1564782]
ENSRNOG00000010348	Cacna1f	calcium voltage-gated channel subunit alpha1 F [Source:RGD Symbol;Acc:621535]
ENSRNOG00000012160	Syk	spleen associated tyrosine kinase [Source:RGD Symbol;Acc:3796]
ENSRNOG00000018892	Hcrt	hypocretin neuropeptide precursor [Source:RGD Symbol;Acc:2786]
ENSRNOG00000004917	Rasal2	RAS protein activator like 2 [Source:RGD Symbol;Acc:1307566]
ENSRNOG00000011595	Senp8	SUMO peptidase family member, NEDD8 specific [Source:RGD Symbol;Acc:1309955]
ENSRNOG00000018246	Tdp2	tyrosyl-DNA phosphodiesterase 2 [Source:RGD Symbol;Acc:1560342]
ENSRNOG00000003705	Bmx	BMX non-receptor tyrosine kinase [Source:RGD Symbol;Acc:1565643]
ENSRNOG00000039251	Spink9	serine peptidase inhibitor, Kazal type 9 [Source:RGD Symbol;Acc:1596746]
ENSRNOG00000065879	LOC102546314	uncharacterized LOC102546314 [Source:RGD Symbol;Acc:7590665]
ENSRNOG00000017660	Inpp4a	inositol polyphosphate-4-phosphatase type I A [Source:RGD Symbol;Acc:68386]
ENSRNOG00000053117	LOC120099504	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:40989803]
ENSRNOG00000066443	LOC120098711	5S ribosomal RNA [Source:RGD Symbol;Acc:41190846]
ENSRNOG00000000702	Sart3	spliceosome associated factor 3, U4/U6 recycling protein [Source:RGD Symbol;Acc:1311646]
ENSRNOG00000020782	Pspc1	paraspeckle component 1 [Source:RGD Symbol;Acc:1310122]
ENSRNOG00000032745	Slc17a3	solute carrier family 17 member 3 [Source:RGD Symbol;Acc:628815]
ENSRNOG00000037661	Tmsb15b2	thymosin beta 15B2 [Source:RGD Symbol;Acc:708373]
ENSRNOG00000070960	LOC120099523	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41187622]
ENSRNOG00000022848	Mageb6b1	MAGE family member B6B1 [Source:RGD Symbol;Acc:1564443]
ENSRNOG00000065132	LOC120098748	5S ribosomal RNA [Source:RGD Symbol;Acc:41366977]
ENSRNOG00000063351	Hmgb3l1	high mobility group box 3 like 1 [Source:RGD Symbol;Acc:11443889]
ENSRNOG00000038722	Tlr1	toll-like receptor 1 [Source:RGD Symbol;Acc:1309975]
ENSRNOG00000055202	LOC120099392	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41222918]
ENSRNOG00000067179	RGD1560203	similar to ferritin heavy polypeptide-like 17 [Source:RGD Symbol;Acc:1560203]
ENSRNOG00000067264	LOC120098717	5S ribosomal RNA [Source:RGD Symbol;Acc:41162948]
ENSRNOG00000037845	Cysltr1	cysteinyl leukotriene receptor 1 [Source:RGD Symbol;Acc:619796]
ENSRNOG00000025710	Ces5a	carboxylesterase 5A [Source:RGD Symbol;Acc:1549717]
ENSRNOG00000016338	Cibar1	CBY1 interacting BAR domain containing 1 [Source:RGD Symbol;Acc:1310681]
ENSRNOG00000069728	LOC120099435	U7 small nuclear RNA [Source:RGD Symbol;Acc:41314102]
ENSRNOG00000053334	Stmn4	stathmin 4 [Source:RGD Symbol;Acc:69349]
ENSRNOG00000070678	LOC120098672	5S ribosomal RNA [Source:RGD Symbol;Acc:41264674]
ENSRNOG00000051232	Gbe1	1,4-alpha-glucan branching enzyme 1 [Source:RGD Symbol;Acc:1309968]
ENSRNOG00000018415	Acot13	acyl-CoA thioesterase 13 [Source:RGD Symbol;Acc:1306513]
ENSRNOG00000049849	Fam199x	family with sequence similarity 199, X-linked [Source:RGD Symbol;Acc:1591830]
ENSRNOG00000005929	Them6	thioesterase superfamily member 6 [Source:RGD Symbol;Acc:1359378]
ENSRNOG00000018906	Ghdc	GH3 domain containing [Source:RGD Symbol;Acc:1308881]
ENSRNOG00000019741	Isyna1	inositol-3-phosphate synthase 1 [Source:RGD Symbol;Acc:1359423]
ENSRNOG00000021808	Tecr	trans-2,3-enoyl-CoA reductase [Source:RGD Symbol;Acc:620376]
ENSRNOG00000018399	Cpne6	copine 6 [Source:RGD Symbol;Acc:1583895]
ENSRNOG00000056042	LOC120099451	small nucleolar RNA SNORA31 [Source:RGD Symbol;Acc:40952035]
ENSRNOG00000064514	LOC120098711	5S ribosomal RNA [Source:RGD Symbol;Acc:41190846]
ENSRNOG00000011621	LOC100911576	heterogeneous nuclear ribonucleoproteins C1/C2-like [Source:RGD Symbol;Acc:6491888]
ENSRNOG00000053017	Vamp9	vesicle-associated membrane protein 9 [Source:RGD Symbol;Acc:7709406]
ENSRNOG00000055911	LOC100361259	60S ribosomal protein L13-like [Source:RGD Symbol;Acc:2320504]
ENSRNOG00000022806	Mageb4	MAGE family member B4 [Source:RGD Symbol;Acc:1561997]
ENSRNOG00000000905	Tex26	testis expressed 26 [Source:RGD Symbol;Acc:1560846]
ENSRNOG00000059552	Zkscan5	zinc finger with KRAB and SCAN domains 5 [Source:RGD Symbol;Acc:1311175]
ENSRNOG00000069345	LOC120099548	U4 spliceosomal RNA [Source:RGD Symbol;Acc:41387253]
ENSRNOG00000002158	Ibsp	integrin-binding sialoprotein [Source:RGD Symbol;Acc:2855]
ENSRNOG00000017674	Ctcf	CCCTC-binding factor [Source:RGD Symbol;Acc:621344]
ENSRNOG00000012329	Saraf	store-operated calcium entry-associated regulatory factor [Source:RGD Symbol;Acc:1303011]
ENSRNOG00000019490	Slc20a2	solute carrier family 20 member 2 [Source:RGD Symbol;Acc:3699]
ENSRNOG00000071121	LOC120098712	5S ribosomal RNA [Source:RGD Symbol;Acc:41226032]
ENSRNOG00000029330	Car5b	carbonic anhydrase 5B [Source:RGD Symbol;Acc:1549783]
ENSRNOG00000026914	Dnah1	dynein, axonemal, heavy chain 1 [Source:RGD Symbol;Acc:621795]
ENSRNOG00000029078	Hmgn5b	high mobility group nucleosome binding domain 5B [Source:RGD Symbol;Acc:1308736]
ENSRNOG00000019772	Dnpep	aspartyl aminopeptidase [Source:RGD Symbol;Acc:1583848]
ENSRNOG00000000778	Znrd1as1	ZNRD1 antisense RNA 1 [Source:RGD Symbol;Acc:1564067]
ENSRNOG00000065911	LOC120099532	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41114019]
ENSRNOG00000067687	LOC100909782	uncharacterized LOC100909782 [Source:RGD Symbol;Acc:6501875]
ENSRNOG00000025121	Pla2g3	phospholipase A2, group III [Source:RGD Symbol;Acc:1305323]
ENSRNOG00000016921	Klhl11	kelch-like family member 11 [Source:RGD Symbol;Acc:1306673]
ENSRNOG00000066557	E230025N22Rikl	Riken cDNA E230025N22 gene like [Source:RGD Symbol;Acc:1565779]
ENSRNOG00000020321	Nop9	NOP9 nucleolar protein [Source:RGD Symbol;Acc:1308396]
ENSRNOG00000070259	Rna5s7	RNA, 5S ribosomal 7 [Source:RGD Symbol;Acc:41367669]
ENSRNOG00000005944	Slurp1	secreted Ly6/Plaur domain containing 1 [Source:RGD Symbol;Acc:1308768]
ENSRNOG00000067138	Tlr10	toll-like receptor 10 [Source:RGD Symbol;Acc:1311569]
ENSRNOG00000048944	Ifitm3-ps1	interferon induced transmembrane protein3, pseudogene 1 [Source:RGD Symbol;Acc:1565332]
ENSRNOG00000003950	Lvrn	laeverin [Source:RGD Symbol;Acc:1562779]
ENSRNOG00000059358	LOC120093051	small Cajal body-specific RNA 3 [Source:RGD Symbol;Acc:41355073]
ENSRNOG00000006217	Wiz	WIZ zinc finger [Source:RGD Symbol;Acc:1307771]
ENSRNOG00000019305	Sh3tc2	SH3 domain and tetratricopeptide repeats 2 [Source:RGD Symbol;Acc:1309038]
ENSRNOG00000066932	Pfdn2	prefoldin subunit 2 [Source:RGD Symbol;Acc:1591406]
ENSRNOG00000039924	Triqk	triple QxxK/R motif containing [Source:RGD Symbol;Acc:1561260]
ENSRNOG00000018456	C17h6orf62	similar to human chromosome 6 open reading frame 62 [Source:RGD Symbol;Acc:6491729]
ENSRNOG00000022173	Gatad2a	GATA zinc finger domain containing 2A [Source:RGD Symbol;Acc:1310596]
ENSRNOG00000065423	LOC120098716	5S ribosomal RNA [Source:RGD Symbol;Acc:41016926]
ENSRNOG00000002379	Plac1	placenta enriched 1 [Source:RGD Symbol;Acc:1563777]
ENSRNOG00000010744	Nrp1	neuropilin 1 [Source:RGD Symbol;Acc:621588]
ENSRNOG00000004959	Actr2	actin related protein 2 [Source:RGD Symbol;Acc:1310826]
ENSRNOG00000065371	LOC120099528	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41370240]
ENSRNOG00000023005	LOC681325	predicted gene 6377 [Source:MGI Symbol;Acc:MGI:3647255]
ENSRNOG00000018417	Naa35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:RGD Symbol;Acc:621771]
ENSRNOG00000015021	Naxd	NAD(P)HX dehydratase [Source:RGD Symbol;Acc:1562691]
ENSRNOG00000025634	Zfhx2	zinc finger homeobox 2 [Source:RGD Symbol;Acc:735143]
ENSRNOG00000062813	LOC120098745	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41372170]
ENSRNOG00000026046	Apex2l1	APEX nuclease (apurinic/apyrimidinic endonuclease) 2-like 1 [Source:RGD Symbol;Acc:1586200]
ENSRNOG00000011729	Nxf2	nuclear RNA export factor 2 [Source:RGD Symbol;Acc:1559530]
ENSRNOG00000004344	Zdhhc3	zinc finger DHHC-type palmitoyltransferase 3 [Source:RGD Symbol;Acc:1309041]
ENSRNOG00000065841	LOC120099499	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41185080]
ENSRNOG00000004676	Pak3	p21 (RAC1) activated kinase 3 [Source:RGD Symbol;Acc:3251]
ENSRNOG00000006058	Lypd2	Ly6/Plaur domain containing 2 [Source:RGD Symbol;Acc:1307892]
ENSRNOG00000056311	Y_RNA	Y RNA [Source:RGD Symbol;Acc:15010142]
ENSRNOG00000066206	LOC120099509	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41012878]
ENSRNOG00000062794	Gypa	glycophorin A [Source:RGD Symbol;Acc:1582935]
ENSRNOG00000005077	Isca2-ps1	iron-sulfur cluster assembly 2, pseudogene 1 [Source:RGD Symbol;Acc:1309506]
ENSRNOG00000000983	Zfp394	zinc finger protein 394 [Source:RGD Symbol;Acc:628654]
ENSRNOG00000000697	Coro1c	coronin 1C [Source:RGD Symbol;Acc:1564490]
ENSRNOG00000007596	Rad51d	RAD51 paralog D [Source:RGD Symbol;Acc:1306944]
ENSRNOG00000052694	Scml1	Scm polycomb group protein like 1 [Source:RGD Symbol;Acc:7723901]
ENSRNOG00000063948	Rna5s13	RNA, 5S ribosomal 13 [Source:RGD Symbol;Acc:40984105]
ENSRNOG00000060712	LOC120099515	small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41041498]
ENSRNOG00000004131	Pkn1	protein kinase N1 [Source:RGD Symbol;Acc:69308]
ENSRNOG00000008666	Etl4	enhancer trap locus 4 [Source:RGD Symbol;Acc:1563437]
ENSRNOG00000019361	Inpp5j	inositol polyphosphate-5-phosphatase J [Source:RGD Symbol;Acc:620541]
ENSRNOG00000024930	Smim19	small integral membrane protein 19 [Source:RGD Symbol;Acc:2318364]
ENSRNOG00000067906	LOC120099552	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41077986]
ENSRNOG00000066581	LOC120098721	5S ribosomal RNA [Source:RGD Symbol;Acc:41359396]
ENSRNOG00000000264	Def8	differentially expressed in FDCP 8 homolog [Source:RGD Symbol;Acc:1309008]
ENSRNOG00000029107	AABR07015743.1	high mobility group box 2 like 2 [Source:RGD Symbol;Acc:1561694]
ENSRNOG00000068778	LOC120099541	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41248886]
ENSRNOG00000015109	Ubxn8	UBX domain protein 8 [Source:RGD Symbol;Acc:1306023]
ENSRNOG00000069085	Rna5s7	RNA, 5S ribosomal 7 [Source:RGD Symbol;Acc:41367669]
ENSRNOG00000065427	Bnip3-ps3	BCL2 interacting protein 3, pseudogene 3 [Source:RGD Symbol;Acc:1590655]
ENSRNOG00000020377	Cideb	cell death-inducing DFFA-like effector b [Source:RGD Symbol;Acc:1310000]
ENSRNOG00000050169	Pet100	PET100 cytochrome c oxidase chaperone [Source:RGD Symbol;Acc:1585222]
ENSRNOG00000017193	Lingo1	leucine rich repeat and Ig domain containing 1 [Source:RGD Symbol;Acc:1308668]
ENSRNOG00000064307	LOC102551724	uncharacterized LOC102551724 [Source:RGD Symbol;Acc:7583405]
ENSRNOG00000066440	LOC120099409	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41102911]
ENSRNOG00000003779	Dedd	death effector domain-containing [Source:RGD Symbol;Acc:620050]
ENSRNOG00000055727	LOC120098724	5S ribosomal RNA [Source:RGD Symbol;Acc:41005633]
ENSRNOG00000062721	Pura	purine rich element binding protein A [Source:RGD Symbol;Acc:1308543]
ENSRNOG00000027049	Atp5mf	ATP synthase membrane subunit f [Source:RGD Symbol;Acc:1596067]
ENSRNOG00000062595	Rab5a	RAB5A, member RAS oncogene family [Source:RGD Symbol;Acc:620936]
ENSRNOG00000048066	Supt20hl2	SUPT20H like 2 [Source:RGD Symbol;Acc:1565951]
ENSRNOG00000007684	Zc3h3	zinc finger CCCH type containing 3 [Source:RGD Symbol;Acc:1307276]
ENSRNOG00000056924	LOC120099497	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41286795]
ENSRNOG00000002855	Rfc1	replication factor C subunit 1 [Source:RGD Symbol;Acc:620619]
ENSRNOG00000012622	Mmp15	matrix metallopeptidase 15 [Source:RGD Symbol;Acc:1308937]
ENSRNOG00000022893	Rimbp2	RIMS binding protein 2 [Source:RGD Symbol;Acc:708533]
ENSRNOG00000001174	Pde9a	phosphodiesterase 9A [Source:RGD Symbol;Acc:621035]
ENSRNOG00000018549	Fbh1	F-box DNA helicase 1 [Source:RGD Symbol;Acc:1306298]
ENSRNOG00000049508	Mir6318	microRNA 6318 [Source:RGD Symbol;Acc:7489044]
ENSRNOG00000051648	AABR07016566.1	NULL
ENSRNOG00000020599	Tssk6	testis-specific serine kinase 6 [Source:RGD Symbol;Acc:1559764]
ENSRNOG00000065224	LOC120099546	small nucleolar RNA U3 [Source:RGD Symbol;Acc:41062743]
ENSRNOG00000062903	Or7a38	olfactory receptor family 7 subfamily A member 38 [Source:RGD Symbol;Acc:1333875]
ENSRNOG00000069992	Sgpp2	sphingosine-1-phosphate phosphatase 2 [Source:RGD Symbol;Acc:1565739]
ENSRNOG00000064268	Rps11-ps1	ribosomal protein S11, pseudogene 1 [Source:RGD Symbol;Acc:1565560]
ENSRNOG00000065883	Mmgt1	membrane magnesium transporter 1 [Source:RGD Symbol;Acc:1566339]
ENSRNOG00000015182	Ppp2cb	protein phosphatase 2 catalytic subunit beta [Source:RGD Symbol;Acc:3381]
ENSRNOG00000014600	Cib3	calcium and integrin binding family member 3 [Source:RGD Symbol;Acc:1590245]
ENSRNOG00000023299	Hfm1	helicase for meiosis 1 [Source:RGD Symbol;Acc:1584010]
ENSRNOG00000037838	P2ry10b	P2Y receptor family member 10B [Source:RGD Symbol;Acc:1560455]
ENSRNOG00000019075	Stat5b	signal transducer and activator of transcription 5B [Source:RGD Symbol;Acc:3774]
ENSRNOG00000060302	LOC108348751	uncharacterized LOC108348751 [Source:RGD Symbol;Acc:11431944]
ENSRNOG00000068927	LOC120099492	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41034437]
ENSRNOG00000036413	Mir328	microRNA 328 [Source:RGD Symbol;Acc:2325404]
ENSRNOG00000002387	Tceal1	transcription elongation factor A like 1 [Source:RGD Symbol;Acc:1549724]
ENSRNOG00000038427	C14h4orf50	similar to human chromosome 4 open reading frame 50 [Source:RGD Symbol;Acc:7596857]
ENSRNOG00000018105	Thtpa	thiamine triphosphatase [Source:RGD Symbol;Acc:727917]
ENSRNOG00000017444	Nrsn1	neurensin 1 [Source:RGD Symbol;Acc:1307833]
ENSRNOG00000000563	Adamts14	ADAM metallopeptidase with thrombospondin type 1 motif, 14 [Source:RGD Symbol;Acc:1308899]
ENSRNOG00000014664	Virma	vir like m6A methyltransferase associated [Source:RGD Symbol;Acc:1559904]
ENSRNOG00000033640	LOC120096627	developmental pluripotency-associated protein 3-like [Source:RGD Symbol;Acc:41174488]
ENSRNOG00000005796	Ctnna1	catenin alpha 1 [Source:RGD Symbol;Acc:1359485]
ENSRNOG00000010882	Sptlc1	serine palmitoyltransferase, long chain base subunit 1 [Source:RGD Symbol;Acc:1307140]
ENSRNOG00000063107	LOC120099482	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41032942]
ENSRNOG00000046739	Mir3564	microRNA 3564 [Source:RGD Symbol;Acc:4888596]
ENSRNOG00000056248	Marf1	meiosis regulator and mRNA stability factor 1 [Source:RGD Symbol;Acc:619770]
ENSRNOG00000062343	LOC120099536	U2 spliceosomal RNA [Source:RGD Symbol;Acc:40977563]
ENSRNOG00000071002	Kcne4	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:RGD Symbol;Acc:1302957]
ENSRNOG00000005338	Drd5	dopamine receptor D5 [Source:RGD Symbol;Acc:2523]
ENSRNOG00000011754	Myom2	myomesin 2 [Source:RGD Symbol;Acc:631437]
ENSRNOG00000008026	C2cd4c	C2 calcium-dependent domain containing 4C [Source:RGD Symbol;Acc:1561354]
ENSRNOG00000012757	Nek3	NIMA-related kinase 3 [Source:RGD Symbol;Acc:1307419]
ENSRNOG00000003881	Nit1	nitrilase 1 [Source:RGD Symbol;Acc:727821]
